,text,q
191,38,0
192,878,0
193,893,0
194,139,1
195,887,0
196,677,0
197,111,0
198,105,0
199,663,0
200,449,0
201,313,0
202,475,0
203,461,0
204,307,0
205,460,0
206,306,0
207,312,0
208,474,0
209,448,0
210,104,0
211,662,0
212,676,0
213,110,0
214,138,0
215,886,0
216,892,0
217,879,0
218,39,0
219,845,0
220,851,0
221,11,0
222,689,0
223,716,0
224,702,0
225,919,0
226,931,0
227,925,0
228,514,0
229,272,0
230,266,0
231,500,0
232,528,0
233,1043,0
234,1057,0
235,299,0
236,1030,0
237,1024,0
238,598,0
239,1018,0
240,201,0
241,567,0
242,573,0
243,215,0
244,229,0
245,942,0
246,956,0
247,765,0
248,771,0
249,759,0
250,981,0
251,995,0
252,76,0
253,836,0
254,188,0
255,62,0
256,822,0
257,89,0
258,611,0
259,177,0
260,163,0
261,605,0
262,639,1
263,375,0
264,413,0
265,407,0
266,361,0
267,349,0
268,348,0
269,406,0
270,360,0
271,374,0
272,412,0
273,638,0
274,162,1
275,604,0
276,610,0
277,88,0
278,176,0
279,823,0
280,63,0
281,837,0
282,77,0
283,189,0
284,994,0
285,980,0
286,758,0
287,770,0
288,764,0
289,957,0
290,943,0
291,228,0
292,572,0
293,214,0
294,200,0
295,566,1
296,1019,0
297,599,0
298,1025,1
299,1031,0
300,1027,0
301,1033,1
302,216,0
303,570,0
304,564,0
305,202,0
306,558,0
307,969,0
308,955,0
309,941,0
310,799,0
311,772,0
312,766,0
313,996,0
314,982,0
315,49,0
316,809,0
317,61,0
318,821,0
319,75,0
320,835,0
321,606,0
322,160,0
323,174,1
324,612,0
325,148,0
326,389,0
327,362,0
328,404,0
329,410,0
330,376,0
331,438,0
332,439,1
333,411,0
334,377,0
335,363,0
336,405,0
337,388,0
338,149,0
339,175,0
340,613,0
341,607,0
342,161,0
343,834,0
344,74,0
345,820,0
346,60,0
347,808,0
348,48,0
349,983,0
350,997,0
351,767,0
352,773,1
353,798,0
354,940,0
355,954,0
356,968,0
357,559,0
358,565,0
359,203,0
360,217,0
361,571,0
362,1032,0
363,1026,0
364,1022,0
365,1036,0
366,549,0
367,575,0
368,213,0
369,207,0
370,561,0
371,950,0
372,788,0
373,944,0
374,978,0
375,993,0
376,987,0
377,777,1
378,763,0
379,64,0
380,824,0
381,70,0
382,830,0
383,58,0
384,818,0
385,159,0
386,165,0
387,603,0
388,617,0
389,171,0
390,398,0
391,429,0
392,401,0
393,367,0
394,373,1
395,415,0
396,372,0
397,414,0
398,400,0
399,366,0
400,428,0
401,399,0
402,616,0
403,170,0
404,164,0
405,602,0
406,158,0
407,819,0
408,59,0
409,831,0
410,71,0
411,825,0
412,65,0
413,762,0
414,776,0
415,986,0
416,992,0
417,979,1
418,945,0
419,789,0
420,951,0
421,206,0
422,560,0
423,574,0
424,212,0
425,548,0
426,1037,0
427,1023,0
428,1009,0
429,589,0
430,1035,0
431,1021,0
432,238,0
433,562,0
434,204,0
435,210,0
436,576,1
437,947,0
438,953,0
439,984,0
440,748,0
441,990,0
442,760,0
443,774,1
444,73,0
445,833,0
446,67,0
447,827,1
448,199,0
449,9,0
450,628,0
451,172,0
452,614,0
453,600,1
454,98,0
455,166,0
456,358,0
457,416,0
458,370,0
459,364,0
460,402,0
461,365,1
462,403,0
463,417,0
464,371,0
465,359,0
466,99,1
467,601,0
468,167,0
469,173,0
470,615,0
471,629,0
472,8,0
473,826,0
474,66,0
475,198,0
476,832,0
477,72,0
478,775,1
479,761,0
480,991,0
481,749,0
482,985,0
483,952,0
484,946,0
485,211,0
486,577,0
487,563,0
488,205,0
489,239,0
490,1020,0
491,1034,0
492,588,0
493,1008,0
494,1011,0
495,585,0
496,591,0
497,1005,0
498,1039,0
499,220,0
500,546,0
501,552,0
502,234,0
503,208,0
504,787,0
505,793,0
506,963,0
507,977,0
508,744,0
509,750,0
510,988,0
511,778,0
512,195,0
513,181,0
514,57,0
515,817,0
516,5,0
517,43,0
518,803,0
519,630,0
520,156,0
521,142,1
522,624,0
523,94,0
524,80,0
525,618,1
526,397,0
527,383,0
528,354,0
529,432,0
530,426,0
531,340,0
532,368,0
533,369,0
534,427,0
535,341,0
536,355,0
537,433,0
538,382,0
539,396,0
540,619,0
541,81,0
542,95,0
543,143,0
544,625,0
545,631,0
546,157,0
547,802,0
548,42,0
549,816,0
550,56,0
551,4,0
552,180,0
553,194,0
554,779,1
555,989,0
556,751,0
557,745,0
558,976,0
559,962,0
560,792,0
561,786,0
562,209,0
563,553,0
564,235,0
565,221,0
566,547,0
567,1038,0
568,1004,0
569,590,0
570,584,0
571,1010,0
572,592,0
573,1006,0
574,1012,0
575,586,0
576,237,0
577,551,0
578,545,0
579,223,0
580,579,0
581,948,0
582,790,0
583,784,0
584,974,0
585,960,0
586,753,0
587,747,0
588,182,0
589,196,0
590,68,0
591,828,0
592,40,0
593,800,0
594,6,0
595,54,0
596,814,0
597,627,0
598,141,0
599,155,0
600,633,0
601,83,0
602,169,0
603,97,0
604,380,0
605,394,0
606,343,0
607,425,0
608,431,0
609,357,0
610,419,0
611,418,0
612,430,0
613,356,0
614,342,0
615,424,0
616,395,0
617,381,0
618,168,0
619,96,0
620,82,0
621,154,0
622,632,0
623,626,0
624,140,0
625,7,0
626,815,0
627,55,1
628,801,0
629,41,0
630,197,0
631,829,0
632,69,0
633,183,0
634,746,0
635,752,0
636,961,0
637,975,0
638,785,0
639,791,0
640,949,0
641,578,1
642,544,0
643,222,1
644,236,0
645,550,0
646,587,0
647,1013,0
648,1007,0
649,593,0
650,597,0
651,1003,0
652,1017,0
653,583,0
654,568,0
655,554,0
656,232,0
657,226,0
658,540,0
659,971,0
660,965,0
